loan_id,gender,married,dependents,education,self_employed,loan_amount,loan_amount_term,credit_history,property_area,loan_status,total_income,loan_to_income
LP001003,1,1,1,1,0,128.0,360.0,1,0,0,6091.0,1.75
LP001005,1,1,0,1,0,66.0,360.0,1,2,1,3000.0,1.83
LP001006,1,1,0,0,0,120.0,360.0,1,2,1,4941.0,2.02
LP001008,1,0,0,1,0,141.0,360.0,1,2,1,6000.0,1.96
LP001011,1,1,2,1,1,267.0,360.0,1,2,1,9613.0,2.31
LP001013,1,1,0,0,0,95.0,360.0,1,2,1,3849.0,2.06
LP001014,1,1,3,1,0,158.0,360.0,0,1,0,5540.0,2.38
LP001018,1,1,2,1,0,168.0,360.0,1,1,1,5532.0,2.53
LP001020,1,1,1,1,0,349.0,360.0,1,1,0,16036.5,1.81
LP001024,1,1,2,1,0,70.0,360.0,1,2,1,3900.0,1.5
LP001027,1,1,2,1,0,109.0,360.0,1,2,1,4340.0,2.09
LP001028,1,1,2,1,0,200.0,360.0,1,2,1,8905.5,1.87
LP001029,1,0,0,1,0,114.0,360.0,1,0,0,4693.0,2.02
LP001030,1,1,2,1,0,17.0,120.0,1,2,1,2385.0,0.59
LP001032,1,0,0,1,0,125.0,360.0,1,2,1,4950.0,2.1
LP001034,1,0,1,0,0,100.0,240.0,1,2,1,3596.0,2.32
LP001036,0,0,0,1,0,76.0,360.0,0,2,0,3510.0,1.8
LP001038,1,1,0,0,0,133.0,360.0,1,0,0,4887.0,2.27
LP001043,1,1,0,0,0,104.0,360.0,0,2,0,7660.0,1.13
LP001046,1,1,1,1,0,315.0,360.0,1,2,1,11580.0,2.27
LP001066,1,1,0,1,1,191.0,360.0,1,1,1,9560.0,1.66
LP001068,1,1,0,1,0,122.0,360.0,1,1,1,5052.0,2.01
LP001073,1,1,2,0,0,110.0,360.0,1,2,1,5266.0,1.74
LP001086,1,0,0,0,0,35.0,360.0,1,2,0,1442.0,2.02
LP001087,0,0,2,1,0,120.0,360.0,1,1,1,6732.561555075594,1.49
LP001091,1,1,1,1,0,201.0,360.0,1,2,0,7535.0,2.22
LP001095,1,0,0,1,0,149.25327510917032,360.0,1,2,0,3167.0,3.93
LP001098,1,1,0,1,0,114.0,360.0,1,1,1,5167.0,1.84
LP001100,1,0,3,1,0,320.0,360.0,1,0,0,13204.0,2.02
LP001112,0,1,0,1,0,144.0,360.0,1,1,1,5126.0,2.34
LP001114,1,0,0,1,0,184.0,340.76889848812095,1,2,1,9998.5,1.53
LP001116,1,0,0,0,0,110.0,360.0,1,1,1,5416.0,1.69
LP001119,1,0,0,1,0,80.0,360.0,1,2,0,3600.0,1.85
LP001120,1,0,0,1,0,47.0,360.0,1,2,1,3013.0,1.3
LP001123,1,1,0,1,0,75.0,360.0,1,2,1,2400.0,2.6
LP001131,1,1,0,1,0,134.0,360.0,1,1,1,6277.0,1.78
LP001138,1,1,1,1,0,44.0,360.0,1,2,1,5649.0,0.65
LP001144,1,1,0,1,0,144.0,360.0,1,2,1,7304.644219782066,1.64
LP001146,0,1,0,1,0,120.0,360.0,0,2,0,6085.0,1.64
LP001151,0,0,0,1,0,144.0,360.0,1,1,1,6275.0,1.91
LP001155,0,1,0,0,0,100.0,360.0,1,1,1,3572.0,2.33
LP001157,0,0,0,1,0,120.0,360.0,1,1,1,3086.0,3.24
LP001164,1,0,0,1,0,112.0,360.0,1,1,0,4230.0,2.21
LP001179,1,1,2,1,0,134.0,360.0,1,2,0,4616.0,2.42
LP001186,0,1,1,1,1,286.0,360.0,0,2,0,10204.0,2.34
LP001194,1,1,2,1,0,97.0,360.0,1,1,1,3875.0,2.09
LP001197,1,1,0,1,0,135.0,360.0,1,1,0,5566.0,2.02
LP001198,1,1,1,1,0,180.0,360.0,1,2,1,10330.0,1.45
LP001199,1,1,2,0,0,144.0,360.0,1,2,1,6216.0,1.93
LP001205,1,1,0,1,0,120.0,360.0,1,2,1,6296.0,1.59
LP001207,1,1,0,0,1,165.0,180.0,0,0,0,6058.0,2.27
LP001222,0,0,0,1,0,116.0,360.0,0,1,0,4166.0,2.32
LP001225,1,1,0,1,0,258.0,360.0,1,1,0,10321.0,2.08
LP001228,1,0,0,0,0,126.0,180.0,1,2,0,5454.0,1.93
LP001233,1,1,1,1,0,312.0,360.0,1,2,1,10204.0,2.55
LP001238,1,1,3,0,1,125.0,60.0,1,2,1,7100.0,1.47
LP001241,0,0,0,1,0,136.0,360.0,0,1,0,4649.561555075594,2.44
LP001243,1,1,0,1,0,172.0,360.0,1,2,1,6274.0,2.28
LP001245,1,1,0,0,1,97.0,360.0,1,1,1,3750.0,2.16
LP001248,1,0,0,1,0,81.0,300.0,1,1,1,3500.0,1.93
LP001255,1,0,0,1,0,149.25327510917032,480.0,1,1,0,3750.0,3.32
LP001256,1,0,0,1,0,176.0,360.0,1,2,0,8500.0,1.73
LP001259,1,1,1,1,1,110.0,360.0,1,2,0,4022.0,2.28
LP001263,1,1,3,1,0,180.0,300.0,0,1,0,7167.0,2.09
LP001264,1,1,3,0,1,130.0,360.0,1,1,1,5499.0,1.97
LP001265,0,0,0,1,0,111.0,360.0,1,1,1,3846.0,2.41
LP001267,0,1,2,1,0,167.0,360.0,1,2,0,3259.0,4.27
LP001273,1,1,0,1,0,265.0,360.0,1,1,0,8250.0,2.68
LP001279,1,0,0,1,0,136.0,360.0,1,1,1,4897.0,2.31
LP001282,1,1,0,1,0,104.0,360.0,1,1,1,4618.0,1.88
LP001289,1,0,0,1,0,210.0,360.0,1,2,1,6133.20577485766,2.85
LP001310,1,1,0,1,0,175.0,360.0,1,1,1,9862.0,1.48
LP001316,1,1,0,1,0,149.25327510917032,360.0,1,1,1,7549.561555075594,1.65
